brand,colour,model,mrp,name,price,sizes,symbol
 RedTape, BLACK, RFF0331,499.0,"Men's black sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, GREEN , RFF0308,499.0,"Men's green sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0315,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, GREEN , RFF0326,499.0,"Men's green sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, RED , RFF0342,499.0,"Men's red sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0355,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0368,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0388,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, RED , RFF0403,499.0,"Men's red sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0284,499.0,"Men's navy sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0214,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0298,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLUE, RFF0184,499.0,"Men's blue sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLUE, RFF0204,499.0,"Men's blue sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, RED , RFF0193,499.0,"Men's red sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, YELLOW  , RFF0276,499.0,"Men's yellow sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0224,499.0,"Men's navy sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, YELLOW  , RFF0253,499.0,"Men's yellow sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLUE, RFF0244,499.0,"Men's blue sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, WHITE  , RFF0235,499.0,"Men's white sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, YELLOW  , RFF0263,499.0,"Men's yellow sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, WHITE  , RFF0105,1499.0,RedTape Men White Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0158,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0144,499.0,"Men's navy sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0104,1499.0,RedTape Men Navy Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0114,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BROWN, RFF0162,499.0,"Men's brown sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLUE, RFF0134,499.0,"Men's blue sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, GREEN , RFF0126,499.0,"Men's green sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, GREY , RFF0096,1499.0,RedTape Men Grey Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0178,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BROWN, RFF0102,499.0,"Men's brown sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLACK, RFF0101,1499.0,RedTape Men Black Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, WHITE  , RFF0095,1499.0,RedTape Men White Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0094,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLACK, RFF0091,1999.0,RedTape Men Black Sliders,599.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0094A,1499.0,RedTape Men Navy Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, MAROON , RFF0072,499.0,"Men's maroon sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0054,499.0,"Men's navy sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0074,1499.0,RedTape Men Navy Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, GREY , RFF0076,1499.0,RedTape Men Grey Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, WHITE  , RFF0075,1499.0,RedTape Men White Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, WHITE  , RFF0085,1499.0,RedTape Men White Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, BLACK, RFF0081,1499.0,RedTape Men Black Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RFF0084,1499.0,RedTape Men Navy Sliders,449.0,"6,7,8,9,10,11",₹
 RedTape, BLUE, RSO0224A,7295.0,RedTape Men Blue Walking Shoes,2188.0,"7,9",₹
 RedTape, BLACK, RSC0621D,6495.0,RedTape Men Black Walking Shoes,1948.0,"9,10,11",₹
 RedTape, MULTI, RFF0028,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, BLUE, RFF0044,499.0,"Men's blue sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, MULTI, RFF0038,499.0,"Men's multi coloured sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RSC0624D,6495.0,RedTape Men Navy Walking Shoes,1948.0,"9,11",₹
 RedTape, BLACK, RSO0221A,7295.0,RedTape Men Black Walking Shoes,2188.0,10,₹
 RedTape, BLUE, RSO0234D,6995.0,RedTape Men Blue Walking Shoes,2098.0,"6,9",₹
 RedTape, WHITE  , RSO0235D,7295.0,RedTape Men White Walking Shoes,2188.0,"10,11",₹
 RedTape, BURGUNDY, RSO0343D,6495.0,RedTape Men Burgundy Walking Shoes,1948.0,"7,8,9,10,11",₹
 RedTape, BLACK, RFF0011,499.0,"Men's black sliders,flip flops",149.0,"6,7,8,9,10,11",₹
 RedTape, NAVY  , RSO0474,5695.0,RedTape Men Navy Walking Shoes,1708.0,11,₹
 RedTape, BLACK, RSE1041,3195.0,RedTape Men Black Sandal,958.0,7,₹
 RedTape, NAVY  , RSE1044,3195.0,RedTape Men Navy Sandal,958.0,7,₹
